Date,Ticker,Open,High,Low,Close,Volume,Daily Return (%),MA5,MA10
2026-07-01 00:00:00-04:00,JPM,326.9,334.13,323.55,332.57,15210200,1.73,329.506,329.783
2026-07-02 00:00:00-04:00,JPM,336.5,338.48,330.28,332.97,8413900,-1.05,329.37600000000003,329.884
2026-07-06 00:00:00-04:00,JPM,335.0,339.72,334.11,337.72,8673500,0.81,331.406,331.28000000000003
2026-07-07 00:00:00-04:00,JPM,340.98,341.4,337.09,339.22,7111300,-0.52,333.668,332.20300000000003
2026-06-08 00:00:00-04:00,META,591.45,591.45,578.68,584.85,19512400,-1.12,,
2026-06-09 00:00:00-04:00,META,590.45,597.08,580.47,584.05,16977400,-1.08,,
2026-06-10 00:00:00-04:00,META,580.19,590.77,570.07,570.45,17064000,-1.68,,
2026-06-11 00:00:00-04:00,META,565.31,571.64,556.49,567.9,17628000,0.46,,
2026-06-12 00:00:00-04:00,META,572.42,575.54,560.38,566.45,14326400,-1.04,574.74,
2026-06-15 00:00:00-04:00,META,579.9,601.27,579.3,593.48,17653300,2.34,576.466,
2026-06-16 00:00:00-04:00,META,593.65,605.81,592.0,600.21,11344400,1.11,579.698,
2026-06-17 00:00:00-04:00,META,592.0,593.81,566.19,567.58,20478300,-4.12,579.124,
2026-06-18 00:00:00-04:00,META,572.82,580.22,563.1,577.22,28824600,0.77,580.988,
2026-06-22 00:00:00-04:00,META,572.02,575.81,559.81,563.85,15405500,-1.43,580.4680000000001,577.604
2026-06-23 00:00:00-04:00,META,562.25,572.2,561.02,562.2,13103300,-0.01,574.2120000000001,575.3389999999999
2026-06-24 00:00:00-04:00,META,561.89,569.04,555.55,557.67,13963600,-0.75,565.7040000000001,572.701
2026-06-25 00:00:00-04:00,META,555.55,556.34,540.18,542.87,16968600,-2.28,560.762,569.943
2026-06-26 00:00:00-04:00,META,543.34,556.85,540.4,550.25,18867700,1.27,555.368,568.1780000000001
2026-06-29 00:00:00-04:00,META,560.0,570.9,558.0,562.6,15011400,0.46,555.1179999999999,567.793
2026-06-30 00:00:00-04:00,META,560.94,565.54,551.43,563.29,18111100,0.42,555.336,564.774
2026-07-01 00:00:00-04:00,META,607.91,628.28,595.1,612.91,45536300,0.82,566.384,566.044
2026-07-02 00:00:00-04:00,META,607.9,610.0,580.42,582.9,21705900,-4.11,574.39,567.576
2026-07-06 00:00:00-04:00,META,594.84,603.58,581.76,600.29,17674100,0.92,584.3979999999999,569.883
2026-07-07 00:00:00-04:00,META,607.59,625.37,603.66,615.58,18524000,1.32,594.994,575.056
2026-06-08 00:00:00-04:00,MSFT,414.14,417.16,408.56,411.74,32086700,-0.58,,
2026-06-09 00:00:00-04:00,MSFT,409.03,411.98,398.48,403.41,35317300,-1.37,,
2026-06-10 00:00:00-04:00,MSFT,398.55,405.04,397.16,397.36,32576000,-0.3,,
2026-06-11 00:00:00-04:00,MSFT,395.21,396.85,384.0,390.34,47224100,-1.23,,
2026-06-12 00:00:00-04:00,MSFT,391.43,391.74,382.27,390.74,34865800,-0.18,398.718,
2026-06-15 00:00:00-04:00,MSFT,396.8,401.75,392.85,399.76,32266400,0.75,396.322,
2026-06-16 00:00:00-04:00,MSFT,395.79,396.84,390.69,393.83,31506800,-0.5,394.406,
2026-06-17 00:00:00-04:00,MSFT,390.25,390.37,377.32,378.91,41987800,-2.91,390.716,
2026-06-18 00:00:00-04:00,MSFT,377.82,381.37,373.28,379.4,59714200,0.42,388.52799999999996,
2026-06-22 00:00:00-04:00,MSFT,375.74,381.63,367.07,367.34,45171100,-2.24,383.848,391.283
2026-06-23 00:00:00-04:00,MSFT,372.38,377.22,370.67,373.94,40647600,0.42,378.684,387.50300000000004
2026-06-24 00:00:00-04:00,MSFT,371.57,378.88,364.78,365.46,44509900,-1.64,373.01,383.70799999999997
2026-06-25 00:00:00-04:00,MSFT,362.77,364.23,349.2,352.83,66179000,-2.74,367.794,379.255
2026-06-26 00:00:00-04:00,MSFT,357.15,376.61,355.43,372.97,186201600,4.43,366.508,377.51800000000003
2026-06-29 00:00:00-04:00,MSFT,377.5,380.5,359.9,368.57,51229900,-2.37,366.754,375.301
2026-06-30 00:00:00-04:00,MSFT,371.03,374.15,367.45,373.02,44945700,0.54,366.57,372.627
2026-07-01 00:00:00-04:00,MSFT,380.83,388.83,374.89,384.28,48065800,0.91,370.33399999999995,371.672
2026-07-02 00:00:00-04:00,MSFT,384.48,392.2,383.7,390.49,42128900,1.56,377.866,372.83
2026-07-06 00:00:00-04:00,MSFT,387.04,389.15,381.22,386.74,34224500,-0.08,380.62,373.56399999999996
2026-07-07 00:00:00-04:00,MSFT,392.49,395.57,388.22,388.84,29209100,-0.93,384.674,375.714
2026-06-08 00:00:00-04:00,NFLX,81.66,83.08,81.34,82.64,33056700,1.2,,
2026-06-09 00:00:00-04:00,NFLX,82.13,82.34,81.34,81.41,34787200,-0.88,,
2026-06-10 00:00:00-04:00,NFLX,81.71,82.75,80.98,82.0,36304600,0.35,,
2026-06-11 00:00:00-04:00,NFLX,81.87,82.1,80.09,81.27,33417600,-0.73,,
2026-06-12 00:00:00-04:00,NFLX,81.58,82.0,79.28,80.34,35309700,-1.52,81.532,
2026-06-15 00:00:00-04:00,NFLX,80.62,81.71,80.46,81.67,36430800,1.3,81.338,
2026-06-16 00:00:00-04:00,NFLX,81.9,81.93,77.71,78.72,65054000,-3.88,80.8,
2026-06-17 00:00:00-04:00,NFLX,78.1,78.45,76.76,76.96,50338800,-1.46,79.792,
2026-06-18 00:00:00-04:00,NFLX,76.93,78.24,76.12,77.38,91920400,0.58,79.014,
2026-06-22 00:00:00-04:00,NFLX,76.14,77.09,71.81,72.88,82203300,-4.28,77.522,79.527
2026-06-23 00:00:00-04:00,NFLX,73.26,73.96,72.63,72.82,50806800,-0.6,75.752,78.545
2026-06-24 00:00:00-04:00,NFLX,72.69,73.45,71.63,71.84,48001500,-1.17,74.376,77.588
