Date,Ticker,Open,High,Low,Close,Volume
2026-06-08 00:00:00-04:00,QCOM,221.03,221.93,214.63,217.77,17180600
2026-06-09 00:00:00-04:00,QCOM,216.46,219.64,192.67,205.42,29906300
2026-06-10 00:00:00-04:00,QCOM,199.46,204.9,190.1,191.2,18426600
2026-06-11 00:00:00-04:00,QCOM,190.92,203.84,190.75,202.96,18933100
2026-06-12 00:00:00-04:00,QCOM,201.85,215.01,200.1,211.72,14123700
2026-06-15 00:00:00-04:00,QCOM,219.77,226.46,216.28,220.81,13993800
2026-06-16 00:00:00-04:00,QCOM,225.83,231.19,213.8,214.07,19629600
2026-06-17 00:00:00-04:00,QCOM,219.04,221.32,212.68,212.97,11955800
2026-06-18 00:00:00-04:00,QCOM,220.71,229.42,214.73,226.11,47081500
2026-06-22 00:00:00-04:00,QCOM,222.93,233.44,215.5,221.9,18203400
2026-06-23 00:00:00-04:00,QCOM,207.34,209.18,198.44,204.13,23781900
2026-06-24 00:00:00-04:00,QCOM,202.57,202.97,191.02,197.41,25519600
2026-06-25 00:00:00-04:00,QCOM,219.43,219.43,199.82,204.9,34793200
2026-06-26 00:00:00-04:00,QCOM,201.7,208.86,186.18,189.39,37128900
2026-06-29 00:00:00-04:00,QCOM,193.03,194.59,183.58,188.72,21599500
2026-06-30 00:00:00-04:00,QCOM,188.99,193.5,183.5,184.79,22056100
2026-07-01 00:00:00-04:00,QCOM,183.59,190.99,181.6,181.92,23313200
2026-07-02 00:00:00-04:00,QCOM,182.17,185.8,172.12,176.25,18661200
2026-07-06 00:00:00-04:00,QCOM,178.13,188.67,177.1,186.48,15510500
2026-07-07 00:00:00-04:00,QCOM,179.0,185.88,179.0,182.97,16239200
2026-06-08 00:00:00-04:00,CSCO,123.1,125.97,121.55,123.69,24288200
2026-06-09 00:00:00-04:00,CSCO,122.8,123.76,116.66,119.91,22744100
2026-06-10 00:00:00-04:00,CSCO,119.27,120.5,117.92,118.36,19740500
2026-06-11 00:00:00-04:00,CSCO,116.74,122.09,116.07,121.38,24625500
2026-06-12 00:00:00-04:00,CSCO,121.89,122.33,120.28,120.65,18222800
2026-06-15 00:00:00-04:00,CSCO,122.1,122.13,119.08,119.72,23148000
2026-06-16 00:00:00-04:00,CSCO,119.84,120.32,118.76,119.12,16644300
2026-06-17 00:00:00-04:00,CSCO,118.52,119.21,116.5,116.89,18472000
2026-06-18 00:00:00-04:00,CSCO,118.16,119.87,116.86,119.09,52284400
2026-06-22 00:00:00-04:00,CSCO,119.15,121.63,119.15,121.08,20174100
2026-06-23 00:00:00-04:00,CSCO,118.1,121.88,117.21,120.7,22654400
2026-06-24 00:00:00-04:00,CSCO,120.12,122.43,118.59,119.28,21752900
2026-06-25 00:00:00-04:00,CSCO,120.36,120.69,117.12,118.53,26918700
2026-06-26 00:00:00-04:00,CSCO,116.74,116.74,112.44,113.35,51641400
2026-06-29 00:00:00-04:00,CSCO,114.55,117.74,114.3,117.26,22447200
2026-06-30 00:00:00-04:00,CSCO,116.34,118.66,115.77,117.02,32465500
2026-07-01 00:00:00-04:00,CSCO,116.11,116.99,114.56,116.57,32016000
2026-07-02 00:00:00-04:00,CSCO,116.59,116.7,111.48,112.27,24251000
2026-07-06 00:00:00-04:00,CSCO,113.05,115.48,112.68,113.98,22920000
2026-07-07 00:00:00-04:00,CSCO,112.79,114.03,111.67,111.79,16645700
2026-06-08 00:00:00-04:00,AVGO,401.98,402.2,390.73,395.97,37099000
2026-06-09 00:00:00-04:00,AVGO,400.98,407.23,369.74,391.54,37026900
2026-06-10 00:00:00-04:00,AVGO,380.9,385.2,370.58,371.51,38193500
2026-06-11 00:00:00-04:00,AVGO,372.23,388.88,369.96,384.96,35187600
2026-06-12 00:00:00-04:00,AVGO,383.11,384.37,376.4,381.47,27600900
2026-06-15 00:00:00-04:00,AVGO,394.89,395.57,387.99,393.32,32394200
2026-06-16 00:00:00-04:00,AVGO,389.59,391.17,375.87,376.11,31573700
2026-06-17 00:00:00-04:00,AVGO,388.1,400.02,382.05,392.28,40005500
2026-06-18 00:00:00-04:00,AVGO,408.93,412.05,404.74,410.7,45076100
2026-06-22 00:00:00-04:00,AVGO,413.66,414.64,391.91,392.13,26403700
2026-06-23 00:00:00-04:00,AVGO,377.87,391.02,376.66,380.15,33122200
2026-06-24 00:00:00-04:00,AVGO,386.62,388.74,376.96,382.07,29938700
2026-06-25 00:00:00-04:00,AVGO,386.58,388.8,372.7,378.91,23353700
2026-06-26 00:00:00-04:00,AVGO,370.45,373.69,363.83,365.02,34839300
2026-06-29 00:00:00-04:00,AVGO,373.62,376.21,360.46,372.45,24285200
2026-06-30 00:00:00-04:00,AVGO,374.79,379.62,370.64,377.75,28517400
2026-07-01 00:00:00-04:00,AVGO,371.87,373.75,368.03,369.34,23712600
2026-07-02 00:00:00-04:00,AVGO,365.73,374.0,356.43,360.45,26749500
2026-07-06 00:00:00-04:00,AVGO,373.61,383.16,371.18,373.9,24544000
2026-07-07 00:00:00-04:00,AVGO,366.56,372.96,362.01,370.78,24064300
2026-06-08 00:00:00-04:00,JPM,311.85,314.88,309.39,309.71,6827000
2026-06-09 00:00:00-04:00,JPM,312.1,315.0,307.62,311.3,11594600
2026-06-10 00:00:00-04:00,JPM,311.16,313.34,307.64,307.75,7446200
2026-06-11 00:00:00-04:00,JPM,308.17,313.31,307.49,312.08,9116600
2026-06-12 00:00:00-04:00,JPM,314.55,319.86,314.13,319.28,7426200
2026-06-15 00:00:00-04:00,JPM,322.47,324.46,317.41,317.97,7988900
2026-06-16 00:00:00-04:00,JPM,322.85,330.26,322.57,329.65,11094900
2026-06-17 00:00:00-04:00,JPM,330.69,336.26,330.01,331.96,12246400
2026-06-18 00:00:00-04:00,JPM,335.44,336.57,322.71,323.76,20111000
2026-06-22 00:00:00-04:00,JPM,328.22,331.28,325.28,329.99,10182500
2026-06-23 00:00:00-04:00,JPM,327.99,333.87,325.74,332.64,7582200
2026-06-24 00:00:00-04:00,JPM,331.58,333.03,328.29,331.95,7907400
2026-06-25 00:00:00-04:00,JPM,333.46,341.91,333.26,333.62,10043100
2026-06-26 00:00:00-04:00,JPM,334.49,334.89,326.03,327.57,17640900
2026-06-29 00:00:00-04:00,JPM,326.81,330.9,325.73,327.91,7981800
2026-06-30 00:00:00-04:00,JPM,327.42,328.96,325.21,325.86,8080100
2026-07-01 00:00:00-04:00,JPM,326.9,334.13,323.55,332.57,15210200
